frame_key,rater,label,cx,cy,box_w,box_h,reason
8c2b4ca650afc183c4b868bc71420f45ecc7369c494cd776edcf624da6efc99a,ADJUDICATOR,VISIBLE,213,224,18,18,ball held by guard near baseline
20ea1070cef466b895f7eef7c87325e152af9358bd76ef5c722eb2e08133a5af,ADJUDICATOR,VISIBLE,600,207,18,16,motion blurred dribble on the floor
4b5b66ab7b3050228a0cd033f4234af41a9e91813b3f571cf5b71e4eadf64e10,ADJUDICATOR,VISIBLE,110,312,11,12,ball partly occluded behind dribbler leg
01624a78bbc487d9602526cfe4540a4fe96c753bc7e126774fc5c604335e2917,ADJUDICATOR,ABSENT,,,,,dead ball walk up no ball anywhere in frame
748ad8b5bcfb830d91434d7be35cd0141c7e6112fbd645cb24b9d8145325d2c8,ADJUDICATOR,ABSENT,,,,,swept whole court panel no ball visible
054db0ba29fc8e4ded1791cd9cf25f22812f33c60f74080c78cf35f4f69e10f8,ADJUDICATOR,VISIBLE,335,362,16,15,ball gathered by driving ballhandler
4a8130a3bbf855cc6a7adf626c78baea0c41cbc852651b7e99ee2de097f98955,ADJUDICATOR,ABSENT,,,,,rim and court swept no ball in frame
1d1cb65290784050f05e114de2d924c2417cf05d48ff636dde6c4822121b8a05,ADJUDICATOR,VISIBLE,392,211,17,17,ball held by player on baseline inbound
b86e4c31ee79587ba1f889c136aa7751114a62259dd00b7433d6575181afeb3b,ADJUDICATOR,VISIBLE,735,196,26,26,wnba ball held at hip by ballhandler
90ec31471472043e2f5d66f91dacfb4dffe01e30a60459856a55fc1bd8642b2e,ADJUDICATOR,VISIBLE,597,180,90,70,blurred ball carried in tight camera shot
5f71a3cb9898d5d5fa7464e11472149c9a260eea5134f9d43ca76fe62ad28609,ADJUDICATOR,ABSENT,,,,,drive at rim but no ball anywhere in panel
2fa4df83ec62b00aad3b497c6e1d7656afcaa13a19aedb0f7daf3bcacfc533ae,ADJUDICATOR,VISIBLE,129,291,13,12,ball on dribble beside ballhandler hip
50a956f66e3d77ba40d4096aa41030205549046c85b899501108a63e46887815,ADJUDICATOR,VISIBLE,597,107,16,16,ball in air just above and left of rim
7a02e9fed24aae484aa274fef51b683306a7a1a619f78a3aad42fdce3e52edf0,ADJUDICATOR,VISIBLE,568,151,10,10,small ball sitting on the far side of rim
91472eb3a6244434131930847469dbc873a1f11412a2a137fc5c8e262485240b,ADJUDICATOR,UNKNOWN,,,,,only a faint colourless blob near ballhandler hand
4bfbd15059d0c58f0997241208c12f7623edd999b41b8cfcdff9d5fcdaae37b1,ADJUDICATOR,ABSENT,,,,,wide transition sweep found no ball
1756edee9fdcc4ad55a729a74e1698fb43c6c0e485a08e783a3e714fa80279ef,ADJUDICATOR,VISIBLE,617,191,17,17,ball held high by post player near basket
b0807ec8ff4d30a5d48de01e82ccf39c8bbf16c21169ce393f31b01e15ac5c33,ADJUDICATOR,VISIBLE,188,125,13,13,ball in dribbler hand in backcourt
e8521bf0d237ae2d37a23d606d4fd8ee568034f8d4ddedaffb50ac6e12af6533,ADJUDICATOR,ABSENT,,,,,dead ball players standing no ball in frame
ac9f7eb7f2bfaf11de9c7a133474ff2c53b2f888be207da3ff8da413517bd516,ADJUDICATOR,ABSENT,,,,,only ball like object is in the stands
e1ffcf35aa4328f0ddb050f9cc7d11d65e047f5adf73a404311ca539246c75be,ADJUDICATOR,VISIBLE,644,123,13,13,ball at the far edge of the rim
18f3d180b4854a548ba4cd699bd2cd3452fb4d7882658dced319d09ae2037998,ADJUDICATOR,ABSENT,,,,,lane lineup with no ball anywhere in panel
0a6565dfbcddaef56b56582099b31117fea20682cefe1c2c949467e518004210,ADJUDICATOR,ABSENT,,,,,rim closeup only ball shown is a scorebug graphic
554d4042c10083a140c7068ca38045bd46a198e42b1e25ac8609ab44881eedf3,ADJUDICATOR,ABSENT,,,,,court swept no game ball visible
a7a44c71744c91a886460f3901f06f6c13a383869cf154a0c40fa5536bba5c1a,ADJUDICATOR,VISIBLE,402,319,15,15,ball held by referee during dead ball
58f51910570677304c194d54924cccc78e939f618dccebd801e003b81516e109,ADJUDICATOR,VISIBLE,724,219,12,12,ball at the hands of the ballhandler in backcourt
d803f84a1bf2829d52c6f2f180783289ad27e9a97dc38450e15007f5b909c1f5,ADJUDICATOR,ABSENT,,,,,swept both halves no ball visible
