frame_key,rater,label,cx,cy,box_w,box_h,reason
422239c9c6fb0e2e7582a06e2c51ff7a3c25dba2e8858d44bfaa84d8f10cd4a3,ADJUDICATOR,VISIBLE,473,272,16,16,ball at driving ball handler between defender arms
0f10333a93b690a10420bb8b30fb96f6699978f52fb28c1a25563c440a034495,ADJUDICATOR,VISIBLE,756,316,12,12,ball held at hip by navy jersey player
9a98b3eb9ad17c060e332c6faf9f0496a06ca012588a532ace89143a8deccc6b,ADJUDICATOR,VISIBLE,402,345,13,13,ball held at left hip by navy dribbler
3427c8976d82fa8ad83e5576b91d3e5733d1fbf89c6b8c1e199dac4877e6d29c,ADJUDICATOR,VISIBLE,342,391,10,10,ball carried in both hands by jogging referee
5c55340d7f2914b1b8589bd326b689518040199b492e89f37794f183ef81ad22,ADJUDICATOR,UNKNOWN,,,,,live possession but ball not locatable at this resolution
f6c38194abd9fb6f1b8100df9cee13e4012d5208a103640ec4a9fc4ac9f9eec9,ADJUDICATOR,VISIBLE,652,216,14,14,ball in hands of driving player near baseline
cf13f4ac0e105eec8fafedf9a55015fed09a73cb0e602efeb5291d32d6838f84,ADJUDICATOR,UNKNOWN,,,,,cluttered basket area ball not separable
0db71514d7adcb20ac39ded1d0da68e41a75d4c0a51e9981f8dcc9e0345de487,ADJUDICATOR,VISIBLE,213,405,15,15,ball at right hand of blue jersey dribbler
66f95c9da73da975684ff915d7af4343ad76e0fc2e1b568221aa79a84e3e9f43,ADJUDICATOR,UNKNOWN,,,,,round object over crowd could be souvenir or shot in flight
e463c48202f2d155e4545d2e726b1e8dfcd6e3206b331bfed34cba705f79a0e8,ADJUDICATOR,UNKNOWN,,,,,only a faint colourless blur no ball confirmable
19aa39df5c12435f075506b642b27877c073bd5cf9ddd7265743a7d7c73b8c61,ADJUDICATOR,VISIBLE,93,246,13,13,ball held at chest by white jersey player
9c2f3a5abf4713d2b1f6291c87a172bab64c6f3ca09b0f157ba658ae2a4f69ed,ADJUDICATOR,ABSENT,,,,,tight crowd and bench shot no court in view
9afdaea39bee674fa289caec464eca747d12754079e07b055656d1096bb197cb,ADJUDICATOR,VISIBLE,401,128,12,12,ball raised above rim on baseline attack
af03b9f50401bf2cc0c5fabb1f84085a98f69c8a54dea67845003c63edba344c,ADJUDICATOR,VISIBLE,427,207,16,16,ball held at chest by running gold jersey player
d3747f70cbcce00c72da265771bed172cc9c3c914bd146bd27e14854d48b91cb,ADJUDICATOR,VISIBLE,151,18,20,20,ball at the rim beside the backboard
64d9361b521300c8d4b001f35a25d98dcc2913678bc3f3640ebf2cc737e9c7d2,ADJUDICATOR,VISIBLE,255,177,18,16,motion blurred ball in flight above defenders
dc30f641fd411f5eae982edb6032c3c5d34a421e8174341e4f16b62bb2b7dfb6,ADJUDICATOR,ABSENT,,,,,rim cam during stoppage no game ball on court
fd74ef3ff8775523a9726de1fd609b2296f73d66b81bce6d432f5ee1c349752b,ADJUDICATOR,UNKNOWN,,,,,ball not locatable in the half court cluster
d3a3b719e817f3a05276f22716d3f0ec546346f0145b1336ed3e0a5b9d9eb759,ADJUDICATOR,VISIBLE,240,292,20,20,orange ball at the dribblers hand near midcourt logo
c822ee49f2fbedcc32f47b19daf12acbc82f9bd97d770dc3b33cd202c797de07,ADJUDICATOR,UNKNOWN,,,,,candidate objects resolve to hair and sideline item
32a9b704493fbb795fb761f37bef3fdce018f9bee88a4ec8ec651ab518983bac,ADJUDICATOR,VISIBLE,371,256,20,20,orange ball at ball handler between two defenders
8df8b92593dfdd3fc2c8a0005ed714d8a537f63aa277d43656023059c772730f,ADJUDICATOR,ABSENT,,,,,exterior arena establishing shot with graphics only
dd5deee8e3b4502cbda9ea36e30509e77697479a0d94e0ccff6d602019aa5f3c,ADJUDICATOR,UNKNOWN,,,,,high rim angle with graphic overlay ball not visible
e156d800c4405fb89da685a79ff9ad540add767bbdfc5bf0176885997875a3a9,ADJUDICATOR,UNKNOWN,,,,,loose ball scramble but no round ball separable
